codice,polo,dist_km,durata_min
003018,003106,14.12,24.0
003019,003130,7.88,10.6
003021,003024,7.84,10.3
003022,003076,2.97,5.1
003023,018102,9.95,14.6
003024,003024,,
003025,003108,11.84,18.5
003026,003024,4.49,6.9
003027,003130,16.95,22.9
003030,003108,12.14,18.3
003032,003108,10.12,14.2
003036,003130,15.58,20.2
003037,002158,19.03,24.6
003039,003106,13.33,22.0
003040,003106,10.88,17.7
003041,002158,14.24,17.9
003042,003130,19.5,26.3
003043,012120,5.06,12.9
003044,003024,12.94,17.4
003045,003130,10.05,13.2
003047,003130,4.93,7.9
003049,003131,9.28,15.6
003051,003084,10.04,16.4
003052,003024,8.98,13.5
003055,003024,7.38,9.6
003058,003024,4.24,6.6
003060,003108,9.65,14.5
003062,003008,5.3,12.6
003065,003130,11.41,14.9
003066,003024,9.41,14.3
003068,003131,6.23,10.3
003069,003106,7.72,12.4
003070,003076,5.82,12.8
003073,003130,6.49,9.0
003076,003076,,
003077,003106,10.91,19.5
003079,003130,9.7,14.1
003082,003024,8.69,12.3
003083,002061,18.53,26.4
003084,003084,,
003088,003024,6.49,10.4
003090,003130,27.7,27.0
003091,003108,4.53,6.8
003093,003084,6.22,10.7
003095,003008,4.13,7.5
003097,003108,6.2,10.8
003098,003076,8.02,12.8
003100,003108,9.12,14.7
003103,003084,7.71,12.3
003104,003106,11.63,18.8
003106,003106,,
003108,003108,,
003109,003008,4.56,9.4
003112,003076,5.84,7.0
003114,003008,4.08,9.2
003115,003076,9.43,13.8
003116,103050,6.21,11.9
003119,003084,7.83,10.4
003120,003076,5.17,8.6
003121,003108,8.26,12.0
003122,003130,6.19,8.4
003129,003130,30.91,32.4
003130,003130,,
003131,003131,,
003133,003076,5.27,7.6
003134,002158,18.89,24.9
003135,003106,9.61,18.8
003138,003130,18.13,24.3
003139,003130,9.32,12.3
003140,003076,5.01,9.3
003141,003131,11.41,18.7
003143,003024,11.45,14.8
003144,003106,11.29,18.5
003146,018102,13.56,19.9
003149,003131,4.59,9.5
003153,003108,8.73,12.4
003154,012123,9.47,13.5
003158,003106,13.23,19.6
003159,003130,25.2,23.5
003164,002158,10.12,16.3
007009,001125,32.29,39.9
007010,,,
007011,001125,75.41,71.0
007012,001125,65.38,66.5
007013,001125,49.03,45.2
007014,001125,51.02,50.0
007015,001125,62.53,66.3
007016,001125,76.88,92.3
007017,001125,50.65,52.0
007018,001125,50.88,65.7
007019,001125,89.47,85.8
007020,001125,52.47,46.7
007021,001125,105.05,96.5
007022,001125,112.76,84.4
007023,001125,33.95,44.8
007024,001125,93.85,86.5
007025,001125,60.39,55.8
007026,001125,96.87,107.5
007027,001125,70.33,69.5
007028,001125,42.66,51.8
007029,001125,43.93,50.9
007030,001125,88.63,87.4
007031,001125,89.7,79.8
007032,001125,63.92,76.7
007033,001125,52.8,62.1
007034,001125,35.23,40.0
007035,001125,91.89,77.3
007036,001125,43.88,54.8
007037,001125,47.18,52.4
007038,001125,87.61,77.3
007039,001125,69.0,69.5
007040,001125,99.92,74.6
007041,001125,126.86,111.8
007042,001125,38.32,46.8
007043,001125,43.82,41.9
007044,001125,106.14,82.8
007045,001125,81.27,73.5
007046,001125,93.89,85.5
007047,001125,91.14,80.6
007048,001125,35.04,43.2
007049,001125,77.89,71.9
007050,001125,43.19,50.3
007051,001125,62.47,66.6
007052,001125,32.13,37.7
007053,001125,118.31,102.2
007054,001125,85.68,75.9
007055,001125,109.26,100.3
007056,001125,97.92,84.8
007057,001125,85.34,82.3
007058,001125,77.24,67.8
007059,001125,64.7,63.9
007060,001125,72.02,81.0
007061,001125,103.07,91.1
007062,001125,90.83,85.5
007063,001125,101.61,90.0
007064,001125,98.31,99.8
007065,001125,56.63,51.9
007066,001125,95.12,82.6
007067,001125,72.17,77.3
007068,001125,112.97,100.2
007069,001125,87.04,74.6
007070,001125,107.71,97.8
007071,001125,79.41,84.1
007072,001125,69.71,63.0
007073,001125,39.56,38.5
007074,001125,88.4,73.8
008001,008065,11.7,16.8
008002,008065,26.54,33.5
008003,008042,19.93,27.1
008004,008042,8.72,13.9
008005,008042,13.97,17.3
008006,008059,16.54,22.4
008007,008055,16.88,28.2
008008,008008,,
008009,008042,12.84,20.9
008010,008042,20.96,25.1
008011,008065,8.8,10.8
008012,008042,11.54,13.3
008014,008059,10.15,25.8
008015,008065,32.46,47.1
008016,008055,18.18,25.5
008017,009006,9.24,16.8
008018,008042,9.81,14.4
